exchange, name, bankroll, eProfit, sdProfit, pptd, winRate, buyRate, days, hProfit
 Smith & Turner P.L.C.",      54GW.L.csv, 988380.045,  2.54, 15.68,   2.273,  0.03,   0.896,  260
TLV       ,     VISN.TA.csv, 12207.343,  4.33, 20.34,   3.401,  0.15,   0.785,  260
LSE       ,      BMTO.L.csv, 10030.237,  2.29, 14.92,   1.892,  0.04,   0.827,  260
TLV       ,     GAON.TA.csv, 9512.035,  3.48, 18.28,   2.638,  0.17,   0.758,  260
LSE       ,      49GP.L.csv, 9061.033,  1.22, 10.93,   1.138,  0.01,   0.935,  260
LSE       ,      70HF.L.csv, 8916.877,  0.81,  8.93,   0.761,  0.01,   0.938,  260
LSE       ,      50GP.L.csv, 8388.626,  0.81,  8.91,   0.761,  0.01,   0.942,  260
 Inc."    ,        KNBA.csv, 666.667,  0.20,  2.35,   0.197,  0.01,   0.969,  260
PNK       ,       SNIOF.csv, 600.000,  0.49,  7.48,   0.473,  0.01,   0.969,  260
PNK       ,       EBODF.csv, 500.000,  1.98, 31.37,   1.919,  0.00,   0.969,  260
 Inc."    ,        CFPI.csv, 487.000,  2.97, 46.90,   2.856,  0.00,   0.962,  260
 Inc."    ,        SYEV.csv, 400.000,  0.28,  3.61,   0.273,  0.04,   0.962,  260
PNK       ,        WESC.csv, 375.000,  4.60, 66.91,   4.286,  0.02,   0.931,  260
 Inc."    ,        RTNB.csv, 260.000,  0.33,  4.42,   0.315,  0.01,   0.962,  260
 Inc."    ,        INNI.csv, 218.583,  0.16,  2.36,   0.156,  0.02,   0.946,  260
 Inc."    ,        SCOO.csv, 200.000,  0.82, 12.71,   0.772,  0.02,   0.938,  260
PNK       ,       NMSCA.csv, 200.000,  0.79, 12.51,   0.765,  0.00,   0.969,  260
PNK       ,        DBGF.csv, 200.000,  7.99, 126.17,   7.685,  0.00,   0.962,  260
PNK       ,       CPIHF.csv, 177.246,  0.09,  0.92,   0.082,  0.02,   0.946,  260
PNK       ,        FZRO.csv, 160.157,  0.17,  2.11,   0.150,  0.09,   0.862,  260
PNK       ,        CHME.csv, 139.000,  0.94, 10.57,   0.884,  0.02,   0.938,  260
 Inc."    ,        IWSY.csv, 125.982,  0.48,  3.39,   0.137,  0.28,   0.285,  260
PNK       ,       PPCGF.csv, 111.111,  0.79, 12.56,   0.764,  0.00,   0.962,  260
LSE       ,       CLC.L.csv, 111.111,  2.17, 14.69,   1.921,  0.03,   0.885,  260
 Inc."    ,        BSPM.csv, 100.000,  0.39,  6.22,   0.381,  0.00,   0.969,  260
LSE       ,      AFRK.L.csv, 100.000,  0.79,  8.82,   0.758,  0.01,   0.962,  260
PNK       ,       GRPAF.csv,  95.556,  0.24,  2.70,   0.226,  0.02,   0.927,  260
LSE       ,      67GX.L.csv,  93.733,  0.80,  8.89,   0.757,  0.01,   0.946,  260
LSE       ,      BA29.L.csv,  91.176,  0.40,  6.26,   0.380,  0.00,   0.958,  260
PNK       ,       WEEEF.csv,  84.458,  0.51,  6.77,   0.352,  0.15,   0.692,  260
PNK       ,       VGREF.csv,  80.000,  0.31,  4.97,   0.304,  0.00,   0.969,  260
